t[s],a[g]
0.0,0.2322607083
0.02,0.2429977843
0.04,0.2620760035
0.06,0.2427247065
0.08,0.244146118
0.1,0.229893772
0.12,0.2175746759
0.14,0.2215383313
0.16,0.2125112134
0.18,0.234731825
0.2,0.2450520695
0.22,0.265131997
0.24,0.2902653423
0.26,0.291080195
0.28,0.3133657328
0.3,0.2857221998
0.32,0.241178357
0.34,0.1963816222
0.36,0.115726501
0.38,0.07006038974
0.4,0.01240691748
0.42,-0.03677007738
0.44,-0.06991207155
0.46,-0.1230654169
0.48,-0.1401971346
0.5,-0.1836369238
0.52,-0.2263079828
0.54,-0.2517358494
0.56,-0.2862042802
0.58,-0.2669279151
0.6,-0.2580036499
0.62,-0.2240892101
0.64,-0.1680947601
0.66,-0.1452236577
0.68,-0.09742677785
0.7,-0.09423874048
0.72,-0.0903803754
0.74,-0.07866134284
0.76,-0.1176460864
0.78,-0.1265697928
0.8,-0.1581429264
0.82,-0.1762531726
0.84,-0.17285696
0.86,-0.1893301251
0.88,-0.1543069941
0.9,-0.1605326177
0.92,-0.1707962832
0.94,-0.170034711
0.96,-0.1992810746
0.98,-0.1641838383
1.0,-0.1663231053
1.02,-0.1478126569
1.04,-0.0911706069
1.06,-0.09091784656
1.08,-0.0335469359
1.1,-0.005179302617
1.12,0.01815924112
1.14,0.0959366886
1.16,0.1307251797
1.18,0.1908720467
1.2,0.2282647533
1.22,0.2681282527
1.24,0.2952077191
1.26,0.2724413798
1.28,0.3157380339
1.3,0.2807473654
1.32,0.2249121945
1.34,0.1985305844
1.36,0.1128267829
1.38,0.1289534946
1.4,0.1386371288
1.42,0.1326278852
1.44,0.1718184738
1.46,0.183219795
1.48,0.2356294904
1.5,0.2203259958
1.52,0.1865560183
1.54,0.1782691216
1.56,0.1808004972
1.58,0.2714574925
1.6,0.2320164111
1.62,0.2126842943
1.64,0.2226477805
1.66,0.1055707832
1.68,0.09167607165
1.7,-0.01583474048
1.72,-0.1754842296
1.74,-0.156258076
1.76,-0.1899229199
1.78,-0.16674188
1.8,-0.1424421176
1.82,-0.04475190778
1.84,0.03341996008
1.86,-0.009683157892
1.88,0.06021842066
1.9,0.02125066572
1.92,0.0390058744
1.94,0.119197984
1.96,-0.05855538497
1.98,-0.04325405185
2.0,-0.06863008168
2.02,-0.1310262236
2.04,-0.02401191424
2.06,-0.1050435261
2.08,-0.0638754808
2.1,-0.1266171533
2.12,-0.3297522847
2.14,-0.4203592473
2.16,-0.5500556492
2.18,-0.4092599263
2.2,-0.2563838957
2.22,-0.1745855892
2.24,-0.06953438968
2.26,-0.1600221301
2.28,0.1042499568
2.3,0.1458784304
2.32,-0.1521319588
2.34,-0.02763767051
2.36,-0.03079395437
2.38,0.05140391657
2.4,0.1306667531
2.42,-0.08547112468
2.44,0.1021151178
2.46,0.3490227111
2.48,0.4384090742
2.5,0.2428157693
2.52,-0.01060156342
2.54,0.35564751
2.56,0.2879334369
2.58,-0.01314596938
2.6,-0.04280592942
2.62,-0.1840161316
2.64,0.1250734711
2.66,0.1619244231
2.68,-0.08734369487
2.7,-0.08952322431
2.72,-0.0648669021
2.74,0.1017590722
2.76,-0.03280897699
2.78,-0.05041937614
2.8,0.3100892656
2.82,0.377301071
2.84,0.5958307666
2.86,0.162361137
2.88,-0.2698674339
2.9,-0.09346050206
2.92,-0.3364635918
2.94,-0.4122438751
2.96,-0.4160398547
2.98,-0.5731437292
3.0,-0.277836235
3.02,-0.3139914116
3.04,-0.2943462037
3.06,-0.210210455
3.08,-0.2262934664
3.1,-0.2061231644
3.12,-0.5907533823
3.14,-0.432669849
3.16,-0.01514735966
3.18,0.01269685515
3.2,0.3075374012
3.22,0.2426930477
3.24,0.2825480813
3.26,0.3214762498
3.28,-0.1807893211
3.3,-0.4377010431
3.32,-0.6332646669
3.34,-0.6872295382
3.36,-0.7823895343
3.38,-0.9830660638
3.4,-0.7043358866
3.42,-0.6149867767
3.44,-0.4381069747
3.46,-0.2086567098
3.48,-0.3827489038
3.5,-0.1387420345
3.52,-0.02354299554
3.54,0.1286215187
3.56,0.5075481165
3.58,0.4344738724
3.6,0.6851473991
3.62,0.8799386824
3.64,0.9391526596
3.66,0.8490450616
3.68,0.355897181
3.7,0.4557661957
3.72,0.4488583494
3.74,0.3289834287
3.76,0.5487832159
3.78,0.07200867462
3.8,0.05829250519
3.82,0.156394429
3.84,-0.09900463382
3.86,-0.1703607143
3.88,-0.4399783199
3.9,-0.2009673775
3.92,0.03431541126
3.94,-0.05591149021
3.96,0.2707539666
3.98,0.4817162285
4.0,0.6812967463
4.02,0.5502241525
4.04,0.3024029828
4.06,0.5400896094
4.08,0.2759921906
4.1,0.4242541049
4.12,0.8964992178
4.14,0.5121730547
4.16,0.6077070893
4.18,0.7101082493
4.2,0.1728856147
4.22,0.09741146136
4.24,0.2439314867
4.26,0.07593895428
4.28,-0.391523012
4.3,-0.2959970188
4.32,-0.2061002621
4.34,-0.3976911823
4.36,-0.2955133645
4.38,-0.541326255
4.4,-0.6459914471
4.42,-0.3501274325
4.44,-0.5702514758
4.46,-0.400542117
4.48,0.04292642651
4.5,0.153358146
4.52,0.1361790926
4.54,-0.004406137998
4.56,0.2244182716
4.58,0.3682403671
4.6,0.1899423649
4.62,-0.08598376568
4.64,-0.2999065949
4.66,-0.242180472
4.68,-0.5095688857
4.7,-0.9104371458
4.72,-0.8921826426
4.74,-0.7023802012
4.76,-0.5058777347
4.78,-0.1537654927
4.8,-0.19023426
4.82,-0.5556576897
4.84,-0.3223380625
4.86,0.2512887411
4.88,0.1013140316
4.9,-0.1707217767
4.92,-0.5794421825
4.94,-1.057376271
4.96,-0.5609262167
4.98,-0.2846443775
5.0,-0.1169894374
5.02,0.2644728293
5.04,0.4768046712
5.06,0.9431231017
5.08,0.858756014
5.1,0.505798719
5.12,0.3900159887
5.14,0.09195285579
5.16,0.0654724538
5.18,-0.1729824546
5.2,-0.1601782249
5.22,0.5081671486
5.24,0.3275535521
5.26,0.1599343453
5.28,0.2104836818
5.3,-0.4233223186
5.32,-0.4565804813
5.34,0.02717711377
5.36,0.3294605249
5.38,0.1275686421
5.4,0.1655374499
5.42,0.494841201
5.44,0.453901007
5.46,0.4627351351
5.48,0.7195051593
5.5,0.9198593058
5.52,1.085595738
5.54,0.5555686303
5.56,0.02144038087
5.58,0.1750299301
5.6,-0.01215903843
