t[s],a[g]
0.0,0.2397971504
0.02,0.2528319468
0.04,0.3019191128
0.06,0.2727257033
0.08,0.2778415843
0.1,0.2588957854
0.12,0.2095360134
0.14,0.2117706858
0.16,0.1713932234
0.18,0.1645764871
0.2,0.1388833102
0.22,0.1157878478
0.24,0.1626003709
0.26,0.1204540965
0.28,0.1013318204
0.3,0.1462620055
0.32,0.1284739589
0.34,0.01955245863
0.36,-0.1018856308
0.38,-0.09514357241
0.4,-0.1057989606
0.42,-0.2324174054
0.44,-0.3244569222
0.46,-0.4254449046
0.48,-0.4239282647
0.5,-0.3634007085
0.52,-0.3776019283
0.54,-0.3549020443
0.56,-0.3627054393
0.58,-0.4224158219
0.6,-0.4142862488
0.62,-0.3484267374
0.64,-0.301476866
0.66,-0.1840132144
0.68,-0.2019468561
0.7,-0.1932980979
0.72,0.01205379687
0.74,0.009598604893
0.76,-0.06626309125
0.78,0.009950982721
0.8,0.03747072461
0.82,-0.04990283503
0.84,-0.1633318959
0.86,-0.06508930987
0.88,0.1377748459
0.9,0.06087433735
0.92,0.05475868982
0.94,0.1729461685
0.96,0.1892982773
0.98,0.3904672862
1.0,0.3323201113
1.02,0.08303415958
1.04,-0.0221094627
1.06,-0.2194684982
1.08,-0.1546457233
1.1,0.03961773736
1.12,0.06312123932
1.14,0.3161488193
1.16,0.3750835852
1.18,0.2457571862
1.2,0.2132872237
1.22,0.08363077989
1.24,-0.0003390272208
1.26,0.01049228247
1.28,0.1188291363
1.3,0.2187947717
1.32,0.128638582
1.34,0.01336935127
1.36,-0.04549589403
1.38,0.01150263528
1.4,0.1483670578
1.42,0.2154429895
1.44,0.1830683686
1.46,0.1589892808
1.48,0.03917707837
1.5,-0.2984396289
1.52,-0.6025338044
1.54,-0.6189719129
1.56,-0.2812784319
1.58,0.1409233624
1.6,0.2322573853
1.62,0.2900864206
1.64,0.2069113386
1.66,-0.1611638452
1.68,-0.3537466053
1.7,-0.3254229157
1.72,-0.4652719857
1.74,-0.3705013684
1.76,-0.02781050413
1.78,0.3409776019
1.8,0.4966986194
1.82,0.8726109377
1.84,0.7781447134
1.86,0.4293333546
1.88,0.5023991523
1.9,0.3256528584
1.92,0.2060993045
1.94,0.2542876493
1.96,-0.09004804547
