t[s],a[g]
0.0,0.2430768561
0.02,0.2561049661
0.04,0.3051854457
0.06,0.2759853498
0.08,0.2810945443
0.1,0.262142059
0.12,0.2127756006
0.14,0.2150035866
0.16,0.1746194377
0.18,0.167796015
0.2,0.1420961517
0.22,0.1189940029
0.24,0.1657998395
0.26,0.1236468787
0.28,0.1045179162
0.3,0.1494414149
0.32,0.1316466818
0.34,0.02271849515
0.36,-0.09872628074
0.38,-0.09199090873
0.4,-0.1026529833
0.42,-0.2292781146
0.44,-0.3213243178
0.46,-0.4223189866
0.48,-0.4208090331
0.5,-0.3602881634
0.52,-0.3744960696
0.54,-0.351802872
0.56,-0.3596129534
0.58,-0.4193300225
0.6,-0.4112071358
0.62,-0.3453543108
0.64,-0.2984111258
0.66,-0.1809541607
0.68,-0.1988944888
0.7,-0.190252417
0.72,0.01509279133
0.74,0.01263091293
0.76,-0.06323746964
0.78,0.01296991791
0.8,0.04048297337
0.82,-0.04689727269
0.84,-0.16033302
0.86,-0.06209712038
0.88,0.140760349
0.9,0.06385315399
0.92,0.05773082004
0.94,0.1759116123
0.96,0.1922570347
0.98,0.3934193571
1.0,0.3352654958
1.02,0.08597285768
1.04,-0.01917745103
1.06,-0.216543173
1.08,-0.1517270845
1.1,0.04252968976
1.12,0.0660265053
1.14,0.3190473989
1.16,0.3779754783
1.18,0.2486423929
1.2,0.216165744
1.22,0.08650261374
1.24,0.002526120209
1.26,0.01335074348
1.28,0.1216809109
1.3,0.2216398599
1.32,0.1314769837
1.34,0.01620106658
1.36,-0.04267086515
1.38,0.01432097774
1.4,0.1511787138
1.42,0.2182479591
1.44,0.1858666518
1.46,0.1617808776
1.48,0.04196198871
1.5,-0.295661405
1.52,-0.5997622669
1.54,-0.6162070618
1.56,-0.2785202673
1.58,0.1436748406
1.6,0.2350021771
1.62,0.292824526
1.64,0.2096427575
1.66,-0.1584391127
1.68,-0.3510285592
1.7,-0.322711556
1.72,-0.4625673125
1.74,-0.3678033816
1.76,-0.02511920373
1.78,0.3436622159
1.8,0.4993765469
1.82,0.8752821788
1.84,0.7808092681
1.86,0.4319912229
1.88,0.5050503342
1.9,0.3282973538
1.92,0.2087371135
1.94,0.2569187719
1.96,-0.08742360932
1.98,-0.09498692799
2.0,-0.2983238624
2.02,-0.5520283903
2.04,-0.2223652932
2.06,0.00274587276
2.08,0.2274341792
2.1,0.03155369963
2.12,-0.4460463371
2.14,-0.7412593091
2.16,-0.8825014231
2.18,-0.7407981001
2.2,-0.4532164695
2.22,-0.01096516919
2.24,0.02221071834
2.26,-0.2442579996
2.28,0.1690922328
2.3,-0.09471209523
2.32,-0.5495088478
2.34,-0.2077350868
2.36,-0.3506204529
2.38,-0.0590509694
2.4,0.2531801624
2.42,-0.2303744426
2.44,0.2166865221
2.46,0.8504412667
2.48,0.963381059
2.5,0.8788841988
2.52,0.5145602871
2.54,0.9955170371
2.56,0.9903122756
2.58,0.219850157
2.6,0.01658558184
2.62,-0.1576192788
2.64,0.007111724409
2.66,0.1161983043
2.68,-0.008165307692
2.7,-0.1185461953
2.72,-0.08078857272
2.74,0.05841377833
2.76,-0.2066248482
2.78,-0.07770557262
2.8,0.515875439
2.82,0.6453319974
2.84,1.095168532
2.86,0.4419880462
2.88,-0.280425801
2.9,-0.1589684221
2.92,-0.4938173336
2.94,-0.4354258699
2.96,-0.3125805119
2.98,-0.6905666821
3.0,-0.3302474772
3.02,-0.2971444036
3.04,-0.2288915391
3.06,0.0409967742
3.08,-0.05870191059
3.1,-0.1859383304
3.12,-0.606484968
3.14,-0.5335720981
3.16,-0.05573552519
3.18,-0.05825371589
3.2,0.1451094037
3.22,0.09582294599
3.24,0.02628477665
3.26,-0.1031992991
3.28,-0.6055211008
3.3,-0.8767639723
3.32,-1.057458755
3.34,-1.052074844
3.36,-1.150876977
3.38,-1.254666457
3.4,-0.7522432653
3.42,-0.5072183998
3.44,-0.3816757462
3.46,-0.2032582173
