t[s],a[g]
0.0,0.4731804499
0.02,0.5846782774
0.04,0.7016510817
0.06,0.5742935084
0.08,0.6302691878
0.1,0.5590455214
0.12,-0.02470864037
0.14,-0.05510920258
0.16,0.1231983871
0.18,0.1363996352
0.2,0.05211327295
0.22,-0.121755417
0.24,0.09729022827
0.26,0.04083138691
0.28,-0.02327409377
0.3,0.5706153429
0.32,0.673462433
0.34,0.2221782194
0.36,0.03202290545
0.38,0.1403281625
0.4,0.2494809867
0.42,-0.2441919895
0.44,-0.6846770971
0.46,-0.9836667586
0.48,-1.071051174
0.5,-0.7441681175
0.52,-0.5291055846
0.54,-0.228720001
0.56,-0.09310280966
0.58,-0.4004659896
0.6,-0.5059694648
0.62,-0.4519007237
0.64,-0.4720841019
0.66,-0.3315831944
0.68,-0.6813678084
0.7,-0.721226779
0.72,-0.2506183108
0.74,-0.1616856749
0.76,-0.138235605
0.78,-0.01390700472
0.8,0.03385150438
0.82,-0.3097480753
0.84,-0.5450123772
0.86,-0.1155433641
0.88,0.3220063448
0.9,0.2893121136
0.92,0.174823172
0.94,0.2417219587
0.96,0.3835857031
0.98,0.734649066
1.0,0.6663228453
1.02,0.2517111187
1.04,0.09386990069
1.06,-0.0481677591
1.08,0.115223965
1.1,0.4888601172
1.12,0.461547574
1.14,0.6819819945
1.16,0.716983766
1.18,0.482591875
1.2,0.4757881963
1.22,0.2910221103
1.24,0.1376416909
1.26,0.1316531843
1.28,0.1623325417
1.3,0.2726288526
1.32,0.1519540168
1.34,0.03688112158
1.36,0.09277839731
1.38,0.1626165532
1.4,0.2583131141
1.42,0.2716215584
1.44,0.1954644757
1.46,0.1888485149
1.48,0.1087211209
1.5,-0.1952648546
1.52,-0.6179167161
1.54,-0.6940093092
1.56,-0.305929511
1.58,0.06078309781
1.6,0.127599875
1.62,0.172896469
1.64,0.02496094783
1.66,-0.3250963373
1.68,-0.433656182
1.7,-0.2957363983
1.72,-0.5317812609
1.74,-0.5277793098
1.76,-0.288484438
1.78,-0.02439895971
1.8,0.2328774052
1.82,0.806365004
1.84,0.8102360927
1.86,0.4912213731
1.88,0.5220518984
1.9,0.3326704557
1.92,0.09449563193
1.94,0.1164131798
1.96,-0.09374130634
1.98,-0.09090242157
2.0,-0.2817844683
2.02,-0.5599293251
2.04,-0.38687288
2.06,-0.1974529197
2.08,0.08285791559
2.1,-0.1389906096
2.12,-0.624222659
2.14,-0.8067506987
2.16,-0.8669093897
2.18,-0.7625352574
2.2,-0.4320237876
2.22,-0.07362585763
2.24,-0.1673105417
2.26,-0.3864613637
2.28,0.06760735824
2.3,-0.02607166037
2.32,-0.3887652622
2.34,-0.1161399981
2.36,-0.1955999085
2.38,0.030932659
2.4,0.4000268753
2.42,0.1625352188
2.44,0.6020664515
2.46,1.236128024
2.48,1.244221581
2.5,0.8007950145
2.52,0.2053923611
2.54,0.6216387668
2.56,0.6559915137
2.58,0.05864102277
2.6,0.05108830784
2.62,-0.02855788275
2.64,0.1497392102
2.66,0.2498016585
2.68,0.1266397084
2.7,0.02313155141
2.72,-0.02382046608
2.74,0.03443278179
2.76,-0.2336766617
2.78,-0.2088257066
2.8,0.4460806654
2.82,0.6878454405
2.84,1.045407377
2.86,0.4771605691
2.88,-0.1653866297
2.9,-0.1210596876
2.92,-0.3233903512
2.94,-0.2572488139
2.96,-0.3037773893
2.98,-0.7728891867
3.0,-0.5363314392
3.02,-0.5729574193
3.04,-0.473021846
3.06,-0.1782414294
3.08,-0.2816566502
3.1,-0.3961544601
3.12,-0.6895607745
3.14,-0.48213341
3.16,0.08337639695
3.18,0.1763662678
3.2,0.403066791
3.22,0.29081459
3.24,0.1849393958
3.26,0.07325792148
3.28,-0.4386430575
3.3,-0.6877842638
3.32,-0.8343495372
3.34,-0.9377463359
3.36,-1.092755301
3.38,-1.144381734
3.4,-0.6577837298
3.42,-0.4576738854
3.44,-0.3969162432
