f[Hz],a[g]
0.0,0.1659101015
0.05005005005,-0.7481965796
0.1001001001,0.0
0.1501501502,0.0
0.2002002002,0.0
0.2502502503,2.890084271
0.3003003003,18.25248554
0.3503503504,-31.08791103
0.4004004004,1.660291294
0.4504504505,30.37584932
0.5005005005,-56.66815086
0.5505505506,0.9202726028
0.6006006006,36.99978037
0.6506506507,-28.08646267
0.7007007007,-27.35225415
0.7507507508,56.62401701
0.8008008008,-11.57291599
0.8508508509,5.982070926
0.9009009009,-11.19571711
0.950950951,-1.533334042
1.001001001,25.91581764
1.051051051,-41.73137677
1.101101101,12.20407641
1.151151151,49.99144626
1.201201201,61.42166697
1.251251251,32.68825807
1.301301301,-47.4314587
1.351351351,4.999937377
1.401401401,72.00084669
1.451451451,-84.89540461
1.501501502,6.981808177
1.551551552,-6.211504083
1.601601602,0.8269242457
1.651651652,18.83286313
1.701701702,-26.74551632
1.751751752,36.88948051
1.801801802,-15.84404263
1.851851852,6.235391826
1.901901902,-31.68118362
1.951951952,10.54115335
2.002002002,28.63595909
2.052052052,-41.81168409
2.102102102,27.61320026
2.152152152,-44.42665052
2.202202202,65.56796142
2.252252252,-49.71815743
2.302302302,35.68144099
2.352352352,-25.39528884
2.402402402,-0.3160200565
2.452452452,16.8718657
2.502502503,5.771587987
2.552552553,-31.47995144
2.602602603,19.53203008
2.652652653,26.84586813
2.702702703,-26.9364033
2.752752753,-29.26924965
2.802802803,63.56167249
2.852852853,-64.48322726
2.902902903,44.73827342
2.952952953,11.83893487
3.003003003,2.996235064
3.053053053,14.27228962
3.103103103,-25.92940935
3.153153153,-48.14995502
3.203203203,56.05328108
3.253253253,1.566207318
3.303303303,-3.581504621
3.353353353,-0.6791580478
3.403403403,8.849690716
3.453453453,-8.611139576
3.503503504,-16.96637999
3.553553554,35.55972868
3.603603604,-19.52155037
3.653653654,-26.7656668
3.703703704,22.82612503
3.753753754,-6.769954116
3.803803804,6.163521334
3.853853854,28.54334284
3.903903904,-34.49328282
3.953953954,-28.17480981
4.004004004,22.13531652
4.054054054,27.56528855
4.104104104,-0.9573567223
4.154154154,-32.48752867
4.204204204,15.81213947
4.254254254,-6.867342506
4.304304304,24.15968791
4.354354354,-15.02898562
4.404404404,-24.98250027
4.454454454,45.75617539
4.504504505,-20.72697505
4.554554555,4.559498531
4.604604605,5.627775455
4.654654655,-13.14185307
4.704704705,-12.57549966
4.754754755,8.866921893
4.804804805,15.2613084
4.854854855,-6.778540311
4.904904905,-20.44354918
4.954954955,25.60951347
5.005005005,-12.28054065
5.055055055,2.810463936
5.105105105,-12.28290728
5.155155155,20.48848748
5.205205205,12.61574624
5.255255255,-23.46698671
5.305305305,7.290868575
5.355355355,-11.19867536
5.405405405,25.10143989
5.455455455,-5.918597287
5.505505506,-20.25163915
5.555555556,11.73147842
5.605605606,6.262014234
5.655655656,1.400338105
5.705705706,-8.126015021
5.755755756,-8.47985202
5.805805806,9.189726893
5.855855856,6.819187072
5.905905906,-14.37195974
5.955955956,6.619818077
6.006006006,10.84550719
6.056056056,-1.684309326
6.106106106,-16.55456791
6.156156156,9.794660734
6.206206206,6.959613693
6.256256256,-10.82857457
6.306306306,-2.00326062
6.356356356,2.049718514
6.406406406,1.994827403
6.456456456,6.208059573
6.506506507,-0.9314868462
6.556556557,-6.593663979
6.606606607,0.7944054967
6.656656657,0.8069709093
6.706706707,0.2827879377
6.756756757,-1.420208541
6.806806807,3.762043996
6.856856857,3.581209125
6.906906907,-5.353592986
6.956956957,-11.73447907
7.007007007,15.01489021
7.057057057,-8.493862147
7.107107107,5.336483642
7.157157157,13.2342874
7.207207207,-13.4152563
7.257257257,-6.93142403
7.307307307,-12.41273339
7.357357357,17.39366137
7.407407407,1.03321379
7.457457457,8.305838151
7.507507508,-4.731922456
7.557557558,-10.11740424
7.607607608,14.41511556
7.657657658,-10.43231921
7.707707708,-4.281816686
7.757757758,15.34372963
7.807807808,-16.08638599
7.857857858,5.326850468
7.907907908,13.08223308
7.957957958,-11.97468545
8.008008008,-5.784317232
8.058058058,7.586928414
8.108108108,-6.721838289
8.158158158,8.35022095
8.208208208,-2.335918185
8.258258258,2.714693072
8.308308308,-4.628409807
8.358358358,-3.023747751
8.408408408,8.033957441
8.458458458,2.506312099
8.508508509,-5.521431192
8.558558559,-8.345917571
8.608608609,6.675386491
8.658658659,7.66658761
8.708708709,-4.456120937
8.758758759,-6.093485988
8.808808809,0.8976908815
8.858858859,9.922569429
8.908908909,-7.853193711
8.958958959,2.441583318
9.009009009,4.691128496
9.059059059,-9.080545123
9.109109109,-0.9553612466
9.159159159,1.30899707
9.209209209,9.436726481
9.259259259,-8.812273235
9.309309309,4.609860332
9.359359359,-1.043901382
9.409409409,-4.595157634
9.459459459,1.867568401
9.50950951,-0.3642947305
9.55955956,11.82850531
9.60960961,-15.54174111
9.65965966,0.4313417188
9.70970971,15.09006065
9.75975976,-17.54702724
9.80980981,4.156314039
9.85985986,2.116331116
9.90990991,10.41136414
9.95995996,-9.037540269
10.01001001,2.795681826
10.06006006,-10.22356739
10.11011011,8.916969985
10.16016016,2.861631477
10.21021021,-3.256706862
10.26026026,-9.153277369
10.31031031,2.227152528
10.36036036,1.16182317
10.41041041,8.862065561
10.46046046,10.15261976
10.51051051,-10.83209549
10.56056056,-7.695317448
10.61061061,-3.733607184
10.66066066,10.53253282
10.71071071,-3.334937823
10.76076076,5.176238823
10.81081081,-8.180944617
10.86086086,3.512928514
10.91091091,0.2029591411
10.96096096,-2.765176347
11.01101101,2.840370393
11.06106106,4.188503529
11.11111111,-3.283278115
11.16116116,-2.26501706
11.21121121,-2.379856314
11.26126126,6.094631963
11.31131131,0.5641899245
11.36136136,-2.65644769
11.41141141,-1.952478472
11.46146146,-2.215965876
11.51151151,3.261042013
11.56156156,3.105286347
11.61161161,-1.798396971
11.66166166,4.304623978
11.71171171,-5.64615036
11.76176176,2.210531156
11.81181181,-4.678535318
11.86186186,2.123914563
11.91191191,6.594342562
11.96196196,-4.126810221
12.01201201,-6.028729013
12.06206206,9.527289737
12.11211211,-1.960457117
12.16216216,-8.753153792
12.21221221,8.750392547
12.26226226,-1.667232128
12.31231231,-3.997218636
12.36236236,5.443162049
12.41241241,-7.305620564
12.46246246,10.08052793
12.51251251,-4.792920693
12.56256256,-1.458817213
12.61261261,0.733373926
12.66266266,-0.007705442734
12.71271271,-0.2685443854
12.76276276,-0.120318741
12.81281281,3.039789808
12.86286286,-0.7466524595
12.91291291,-1.853997337
12.96296296,0.1189000795
13.01301301,-2.940058106
13.06306306,-3.80701273
13.11311311,7.575146581
13.16316316,3.85965475
13.21321321,-1.324327526
13.26326326,-3.210733567
13.31331331,-4.525722529
13.36336336,2.613395606
13.41341341,3.706183777
13.46346346,-0.397437053
13.51351351,-2.528219571
