f[Hz],a[cm/s^2]
0.0,8.799999998e-05
0.004976486103,0.002434698206
0.009952972206,0.008751835876
0.01492945831,0.01647876825
0.01990594441,0.03934461834
0.02488243052,0.1421132947
0.02985891662,0.376129581
0.03483540272,0.9619642645
0.03981188883,1.643499687
0.04478837493,2.38340015
0.04976486103,2.67623369
0.05474134713,3.517936139
0.05971783324,3.293207679
0.06469431934,4.543817061
0.06967080544,5.660881656
0.07464729155,5.268894068
0.07962377765,3.092590365
0.08460026375,6.273834022
0.08957674986,10.79895078
0.09455323596,14.58606521
0.09952972206,9.803219575
0.1045062082,9.019162392
0.1094826943,11.73769446
0.1144591804,22.40708859
0.1194356665,24.83471075
0.1244121526,22.25126866
0.1293886387,12.59996182
0.1343651248,2.252807454
0.1393416109,8.286138913
0.144318097,10.70160359
0.1492945831,6.311056309
0.1542710692,20.69060719
0.1592475553,0.8352658074
0.1642240414,23.9927627
0.1692005275,9.739922644
0.1741770136,15.25182799
0.1791534997,26.09523258
0.1841299858,4.166387697
0.1891064719,30.68477742
0.194082958,39.37782359
0.1990594441,27.71467776
0.2040359302,23.10975607
0.2090124163,25.47912104
0.2139889024,30.94561332
0.2189653885,32.82393122
0.2239418746,9.336457708
0.2289183607,37.78254487
0.2338948468,41.02858829
0.238871333,36.61082428
0.2438478191,20.23731505
0.2488243052,60.31913997
0.2538007913,65.56734443
0.2587772774,86.94482755
0.2637537635,102.5229699
0.2687302496,70.9920526
0.2737067357,68.69090836
0.2786832218,27.96238698
0.2836597079,112.1052861
0.288636194,113.8317717
0.2936126801,48.98688319
0.2985891662,48.82252763
0.3035656523,8.562110405
0.3085421384,23.46735793
0.3135186245,101.5825331
0.3184951106,71.02774403
0.3234715967,106.6469621
0.3284480828,155.325379
0.3334245689,169.546069
0.338401055,283.2791788
0.3433775411,189.4186435
0.3483540272,169.207951
0.3533305133,182.5241789
0.3583069994,226.9638632
0.3632834855,195.6773307
0.3682599716,137.3396507
0.3732364577,116.7469594
0.3782129438,83.57203521
